City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,bentiu,9.2333,29.8333,73.78,84,96,2.42,SS,1692584609
302,tofol,5.3248,163.0078,82.18,78,100,3.44,FM,1692584610
303,taoudenni,22.6783,-3.9836,96.8,17,5,2.46,ML,1692584303
304,roshal',55.6685,39.8749,53.83,97,61,6.06,RU,1692584611
305,formosa do rio preto,-11.0483,-45.1931,77.67,39,14,3.6,BR,1692584612
306,parauapebas,-6.0675,-49.9022,80.33,43,22,0.51,BR,1692584612
307,khandyga,62.6667,135.6,58.96,83,99,6.31,RU,1692584191
308,el abiodh sidi cheikh,32.893,0.5484,80.02,24,4,6.53,DZ,1692584614
309,lihue,21.9789,-159.3672,83.55,65,40,14.97,US,1692584162
310,harper,4.375,-7.7169,76.35,90,87,9.55,LR,1692584616
311,ialysos,36.4104,28.1655,78.93,87,0,11.5,GR,1692584617
312,caleta de carquin,-11.0925,-77.6267,67.96,82,49,9.69,PE,1692584618
313,new norfolk,-42.7826,147.0587,63.0,51,100,10.31,AU,1692584184
314,akureyri,65.6835,-18.0878,44.53,87,100,3.44,IS,1692584620
315,port isabel,26.0734,-97.2086,85.28,76,0,6.91,US,1692584621
316,griffith,41.5284,-87.4237,74.1,89,0,5.75,US,1692584461
317,madalena,41.2162,-8.3345,66.81,87,92,2.51,PT,1692584622
318,santa cruz,-17.8,-63.1667,76.46,83,0,12.66,BO,1692584623
319,talcahuano,-36.7167,-73.1167,56.88,100,100,16.11,CL,1692584624
320,buka,40.8108,69.1986,76.21,20,0,2.8,UZ,1692584134
321,plouzane,48.3833,-4.6167,61.79,97,100,4.61,FR,1692584626
322,jayapura,-2.5333,140.7,90.79,70,82,6.85,ID,1692584627
323,imbituba,-28.24,-48.6703,62.15,91,38,7.34,BR,1692584475
324,manicore,-5.8092,-61.3003,81.63,43,50,0.47,BR,1692584628
325,tual,-5.6667,132.75,77.52,79,54,19.35,ID,1692584629
